no,category,brand,name,price,gender,color_family,link,list_image
1976,Hand Bags,GYKACO,KALEYA - Brown,Rp 915.000,female,brown,https://www.zalora.co.id/gykaco-kaleya-brown-brown-1945323.html,http://static.id.zalora.net/p/gykaco-6569-3235491-1.jpg|http://static.id.zalora.net/p/gykaco-6570-3235491-2.jpg|http://static.id.zalora.net/p/gykaco-6570-3235491-3.jpg|http://static.id.zalora.net/p/gykaco-6570-3235491-4.jpg|http://static.id.zalora.net/p/gykaco-6571-3235491-5.jpg|http://static.id.zalora.net/p/gykaco-6571-3235491-6.jpg|http://static.id.zalora.net/p/gykaco-6572-3235491-7.jpg|
1977,Hand Bags,Marhen J,MARHEN.J RICO MINI STRIPE BLACK,Rp 1.795.000,female,black|white,https://www.zalora.co.id/marhen-j-marhen-j-rico-mini-stripe-black-black-white-2201109.html,http://static.id.zalora.net/p/marhen-j-7753-9011022-1.jpg|http://static.id.zalora.net/p/marhen-j-7753-9011022-2.jpg|http://static.id.zalora.net/p/marhen-j-7753-9011022-3.jpg|http://static.id.zalora.net/p/marhen-j-7754-9011022-4.jpg|http://static.id.zalora.net/p/marhen-j-7754-9011022-5.jpg|
1978,Hand Bags,Play No More,SHY FAMILY WHITE Large Handbag,Rp 6.780.000,female,white,https://www.zalora.co.id/play-no-more-shy-family-white-large-handbag-white-2340726.html,http://static.id.zalora.net/p/play-no-more-0381-6270432-1.jpg|http://static.id.zalora.net/p/play-no-more-0382-6270432-2.jpg|http://static.id.zalora.net/p/play-no-more-0382-6270432-3.jpg|http://static.id.zalora.net/p/play-no-more-0382-6270432-4.jpg|http://static.id.zalora.net/p/play-no-more-0382-6270432-5.jpg|http://static.id.zalora.net/p/play-no-more-0382-6270432-6.jpg|http://static.id.zalora.net/p/play-no-more-0382-6270432-7.jpg|http://static.id.zalora.net/p/play-no-more-0383-6270432-8.jpg|
1979,Hand Bags,Berrybenka Label,Fabia Ocean Acrylic Handle Handbag Terracotta,Rp 449.000,female,orange,https://www.zalora.co.id/berrybenka-label-fabia-ocean-acrylic-handle-handbag-terracotta-orange-2365874.html,http://static.id.zalora.net/p/berrybenka-label-3924-4785632-1.jpg|http://static.id.zalora.net/p/berrybenka-label-3925-4785632-2.jpg|http://static.id.zalora.net/p/berrybenka-label-3925-4785632-3.jpg|http://static.id.zalora.net/p/berrybenka-label-3925-4785632-4.jpg|http://static.id.zalora.net/p/berrybenka-label-3925-4785632-5.jpg|
1980,Hand Bags,Berrybenka Label,Frida Ocean Envelope Handbag Maroon,Rp 449.000,female,red,https://www.zalora.co.id/berrybenka-label-frida-ocean-envelope-handbag-maroon-red-2365068.html,http://static.id.zalora.net/p/berrybenka-label-9286-8605632-1.jpg|http://static.id.zalora.net/p/berrybenka-label-9286-8605632-2.jpg|http://static.id.zalora.net/p/berrybenka-label-9286-8605632-3.jpg|http://static.id.zalora.net/p/berrybenka-label-9286-8605632-4.jpg|http://static.id.zalora.net/p/berrybenka-label-9286-8605632-5.jpg|
1981,Hand Bags,GYKACO,GYKACO Tas Selempang Wanita - ELLE Black - Fashion Sling bag (Import),Rp 826.000,female,black,https://www.zalora.co.id/gykaco-gykaco-tas-selempang-wanita-elle-black-fashion-sling-bag-import-black-2121268.html,http://static.id.zalora.net/p/gykaco-7786-8621212-1.jpg|http://static.id.zalora.net/p/gykaco-7786-8621212-2.jpg|http://static.id.zalora.net/p/gykaco-7786-8621212-3.jpg|http://static.id.zalora.net/p/gykaco-7786-8621212-4.jpg|http://static.id.zalora.net/p/gykaco-7787-8621212-5.jpg|
1982,Hand Bags,House Of Ende,Mahadewi Archipelago,Rp 6.400.000,female,silver,https://www.zalora.co.id/house-of-ende-mahadewi-archipelago-silver-2215006.html,http://static.id.zalora.net/p/house-of-ende-6724-6005122-1.jpg|http://static.id.zalora.net/p/house-of-ende-6725-6005122-2.jpg|http://static.id.zalora.net/p/house-of-ende-6725-6005122-3.jpg|http://static.id.zalora.net/p/house-of-ende-6725-6005122-4.jpg|http://static.id.zalora.net/p/house-of-ende-6725-6005122-5.jpg|http://static.id.zalora.net/p/house-of-ende-6725-6005122-6.jpg|
1983,Hand Bags,Coach,Bond Bag in Light Gold Black,Rp 5.500.000,female,black,https://www.zalora.co.id/coach-bond-bag-in-light-gold-black-black-2371942.html,http://static.id.zalora.net/p/coach-7721-2491732-1.jpg|http://static.id.zalora.net/p/coach-7721-2491732-2.jpg|http://static.id.zalora.net/p/coach-7721-2491732-3.jpg|
1984,Hand Bags,Marhen J,MARHEN.J RICO MINI SAND BEIGE,Rp 1.758.000,female,beige,https://www.zalora.co.id/marhen-j-marhen-j-rico-mini-sand-beige-beige-2202617.html,http://static.id.zalora.net/p/marhen-j-7749-7162022-1.jpg|http://static.id.zalora.net/p/marhen-j-7749-7162022-2.jpg|http://static.id.zalora.net/p/marhen-j-7749-7162022-3.jpg|http://static.id.zalora.net/p/marhen-j-7750-7162022-4.jpg|http://static.id.zalora.net/p/marhen-j-7750-7162022-5.jpg|http://static.id.zalora.net/p/marhen-j-7750-7162022-6.jpg|
1985,Hand Bags,House Of Ende,Mahadewi Archipelago,Rp 6.400.000,female,gold,https://www.zalora.co.id/house-of-ende-mahadewi-archipelago-gold-2214994.html,http://static.id.zalora.net/p/house-of-ende-6733-4994122-1.jpg|http://static.id.zalora.net/p/house-of-ende-6734-4994122-2.jpg|http://static.id.zalora.net/p/house-of-ende-6734-4994122-3.jpg|http://static.id.zalora.net/p/house-of-ende-6734-4994122-4.jpg|http://static.id.zalora.net/p/house-of-ende-6734-4994122-5.jpg|http://static.id.zalora.net/p/house-of-ende-6734-4994122-6.jpg|
1986,Hand Bags,Longchamp,Le Pliage Small Top Handle SH in Grey S,Rp 3.500.000,female,grey,https://www.zalora.co.id/longchamp-le-pliage-small-top-handle-sh-in-grey-s-grey-2371903.html,http://static.id.zalora.net/p/longchamp-6229-3091732-1.jpg|http://static.id.zalora.net/p/longchamp-6230-3091732-2.jpg|
1987,Hand Bags,Longchamp,Le Pliage Cuir Etoile Star Small Satchel Leather Blu S,Rp 7.000.000,female,navy,https://www.zalora.co.id/longchamp-le-pliage-cuir-etoile-star-small-satchel-leather-blu-s-navy-2371906.html,http://static.id.zalora.net/p/longchamp-6226-6091732-1.jpg|http://static.id.zalora.net/p/longchamp-6227-6091732-2.jpg|http://static.id.zalora.net/p/longchamp-6227-6091732-3.jpg|
1988,Hand Bags,Fossil,Fossil Maya Satchel Black Leather - ZB7566-001,Rp 4.655.000,female,black,https://www.zalora.co.id/fossil-fossil-maya-satchel-black-leather-zb7566-001-black-1876194.html,http://static.id.zalora.net/p/fossil-6558-4916781-1.jpg|http://static.id.zalora.net/p/fossil-6558-4916781-2.jpg|http://static.id.zalora.net/p/fossil-6558-4916781-3.jpg|http://static.id.zalora.net/p/fossil-6558-4916781-4.jpg|
1989,Hand Bags,GYKACO,GYKACO Tas Wanita Hand bag - CLEO Black - Fashion Top Handle Bag (Import),Rp 817.000,female,black,https://www.zalora.co.id/gykaco-gykaco-tas-wanita-hand-bag-cleo-black-fashion-top-handle-bag-import-black-2273340.html,http://static.id.zalora.net/p/gykaco-4935-0433722-1.jpg|http://static.id.zalora.net/p/gykaco-4935-0433722-2.jpg|http://static.id.zalora.net/p/gykaco-4935-0433722-3.jpg|http://static.id.zalora.net/p/gykaco-4936-0433722-4.jpg|http://static.id.zalora.net/p/gykaco-4936-0433722-5.jpg|
1990,Hand Bags,Primrose,Hamsa,Rp 599.000,female,grey,https://www.zalora.co.id/primrose-hamsa-grey-1951122.html,http://static.id.zalora.net/p/primrose-7308-2211591-1.jpg|http://static.id.zalora.net/p/primrose-7308-2211591-2.jpg|http://static.id.zalora.net/p/primrose-7308-2211591-3.jpg|http://static.id.zalora.net/p/primrose-7309-2211591-4.jpg|http://static.id.zalora.net/p/primrose-7309-2211591-5.jpg|
1991,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 1.199.000,female,navy,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-navy-2243943.html,http://static.id.zalora.net/p/saint-lucas-8895-3493422-1.jpg|http://static.id.zalora.net/p/saint-lucas-8895-3493422-2.jpg|http://static.id.zalora.net/p/saint-lucas-8895-3493422-3.jpg|http://static.id.zalora.net/p/saint-lucas-8895-3493422-4.jpg|
1992,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 1.090.000,female,black,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-black-2255879.html,http://static.id.zalora.net/p/saint-lucas-5352-9785522-1.jpg|http://static.id.zalora.net/p/saint-lucas-5352-9785522-2.jpg|http://static.id.zalora.net/p/saint-lucas-5352-9785522-3.jpg|http://static.id.zalora.net/p/saint-lucas-5352-9785522-4.jpg|http://static.id.zalora.net/p/saint-lucas-5352-9785522-5.jpg|
